,lang,tweet,polarity
66,en,"Also, the Spotlight also searches mail! My #windows8 search never did that! That is a huge plus for Apple!",negative
67,en,Post patch Tuesday update that requires a reboot? Interesting. Anyone got a clue why and what it is? #Windows8,neutral
68,en,"@VisualStudio Modern has always had potential, even back when #Windows8 debuted. It's just third-party Store apps are usually terrible.",neutral
69,en,"#IE11 probs abound:How come IE11 deleted browsing history, doesn't open last browsing session despite settings since last #Windows8 updates?",neutral
70,en,What's this #Windows8 #WindowsUpdate a week after #PatchTuesday why doesn't all go the same time messing with my work?,negative
71,en,"@Microsoft Why does this system think that I'm using a touch screen? Can I turn this off? Everything is fuzzy, blurry and too big. #windows8",negative
72,en,Hey @microsoft I just bought a new Asus laptop with Windows 8.1. Could you please hurry up with Win10? Please. PLEASE! #windows8 #Windows10,negative
73,en,#Office 2013 is not the same as #Windows8.1. One is an app the other is an OS. THERE IS A BIG DIFFERENCE,neutral
74,en,"4 days using #Windows10. Whats the big deal? #StartMenu? My personal opinion, they load slower than #Windows8",positive
75,en,"""maybe a reboot will help"" #FamousLastWords .Stuck at 3 of 16 update #windows8 for last 10mins argh",negative
76,en,"@mashable wild card entrant #windows8.1 will be winner, very well thought of n paid attn to lot of minute details... true",positive
77,en,"@sartomiki @TuneUp_Media it works on iTunes 12 in #Windows8 , but i tried in OS X Yosemite, and nothing.... it's frustrating",positive
78,en,"Not only do my notes from my tablet automatically go to my computer, I can SNAP like my xbox to have notes while Im typing!!!🙌😈 #windows8",positive
79,en,Once you strip out most of the changes to the #windows8 front end via Classic Shell it's not a horrible experience. Very quick on SSD.,positive
80,en,@jbarkerii I have the wife's old #Dell running #Windows8 I want to reset and start fresh but I just have no desire or need other than #Droid,negative
81,en,PC has gone 20 minutes without a BSOD.. Thats a record for the last 4 hours.. Windows 8.1 Pro you are trash #microsoft #windows8,negative
82,en,@drewjjones84 Metro was such a good name for the #Windows8 UI. It dressed too flashy and needed lots of attention.,negative
83,en,"Laptop has never been the same since I was ""forced"" 2 change 2 #Windows8.1 @Microsoft how can I change it back 2 win.8 #PlaguedWithProblems",negative
84,en,#Windows8 updates on a #Sony #Vaio laptop take longer than a Malvern resident using the self service checkout in Morrisons. looooooooooooong,negative
85,en,#Netflix #miracast #windows8.1 Netflix Miracast & Windows 8.1 are all in sync now; no Netflix projection problem,positive
86,en,"Just did some homework three times over because every time I saved it, it was an empty file. Ffs #windows8 #makesnosense",negative
87,en,My third day after installing #windows8.1 again and every restart requires me to install updates. Its getting annoying now !,negative
88,en,"Break the Internet using #funcapsmatic , meme generator for #windows 8.1 #windowsstore #apps #meme #caps #windows8",neutral
89,en,Finally managed to upgrade #Windows8 to 8.1 but Office was removed and it wants me to buy it again #doubledipping #behindthetimes,negative
90,en,"Every time I use #Windows8, I become more impressed with how profoundly bad a UX it is. Its an almost perfect #antidesign",negative
91,en,#techtrends What then is the difference between a software desktop) and an app (Tablet)? #windows8 #appstore #androiddev,neutral
92,en,"My girlfriend finally lets me install #Windows8.1 on her PC. Windows 7 on her PC is really slow nowadays but she doesn't have a SSD, though.",positive
93,en,"You'll always find ppl tweeting about how much they love their #MacBook , but can I just say that #Windows8 & 8.1 have been kickass to use?",positive
94,en,"#windows8 broken. Go to fix it via DVD Recovery Media, and @archlinux and @openSUSE disappear from my HD #formatted. Thanks a lot uncle Bill",negative
95,en,"""Your most unhappy customers are your greatest source of learning."" Bill Gates” #microsoft must have learnt #windows8 #apple",positive
96,en,"@akipekka @SlushHQ I noticed #Slush14 live stream crashes my iPad mini, but not Surface 2. At least one victory for #windows8 . :)",positive
97,en,ASUS X552CL problem wireless keeps disconnecting! Please help #asus #support @ASUSSrbija #Windows7 #Windows8.1,neutral
98,en,You've just gotta love how #Microsoft synchronises all your accounts in #Windows8.1 and #WindowsPhone8.1 #OneDrive and #Live.com #seamless,positive
99,en,Not sure how I feel about #Windows8 forcing me to restart to update. Last notification doesn't give you an option to postpone.,negative
100,en,Productive day today at #LaheyClinic in Burlington where their server upgrades & transition to #Windows8 on all their tablets is going great,positive
101,en,My @HP #Stream7 is awesome! (Once I connected a mouse and keyboard to it) #Windows8 is terrible as a touch OS. T-e-r-r-i-b-l-e,negative
102,en,Made the switch to #windows8 & love the @acer Switch. This is what I've been waiting for since 2009 when I bought the Aspire One,positive
103,en,Trying to fix an invisible mouse pointer problem in #Windows8 is like trying to replace flashlight batteries in complete darkness.,negative
104,en,Sometimes I spend time to myself smoking #weed and drinking a #Mickys40 while fixing my piece of shit #windows8 machine,negative
105,en,"from #windows8 to #windows8.1 to #windows8.1GDR1 and now #windows10TP, bugs keep increasing exponentially, WTF @Microsoft ????",negative
106,en,"@WindowsInd Yeah ofcourse.. It's superb coz i got #Windows8 on all my gadgets, i.e, on my tab and my phone as well.. :)",positive
107,en,"Stupid fuckin #Windows8 wid its never ending errors. Hope #windows10 wont b such a disappointment, or will have to use a pirated version.",negative
108,en,The #windowsupdate sucks! I can't use most of my apps/make calls & the battery goes dead in about 12hrs. #lumiacyan #lumia521 #windows8,negative
109,en,@Snowflake6799AJ Finally got my GOD DANG COMPOOTER BAKE IMA KILL THE WORLD WITH IT #WINDOWS8 #FUCKAPPLE,positive
110,en,Thx #Linux #Mint for a great alternative over the annoying #Windows8. Just passed 1mo of use at home & wish I had it at work too.,negative
111,en,"#Windows8 sucks. After using it for three days, I have decided that it sucks. #Windows7 was the pinnacle.",negative
112,en,I CAN'T EXPRESS HOW MUCH I LOATHE #WINDOWS8 FUCKING SHIT WON'T BOOT UP. FUCKING BLACK SCREEN FUCK YOU WINDOWS 8 FUCK YOU!!!!!! 😡😠,negative
113,en,Is there anyone good with graphics tablets and what's compatible with windows 8? If so DM me please! #windows8 #wacom #graphicstablets,neutral
114,en,"Tonight, I start #coding again. It's been too long. One day I _will_ finish a #Windows8 app. #WinDev #CSharp #DevLife",neutral
115,en,@WindowsSupport I seriously need a hack to be able to install #Windows8 apps on my sdcard. Otherwise I'll probably return this.,negative
116,en,"What fucking moron built this garbage! They literally made #windows8 HARDER TO FIX than any windows before it, What the fuck!",negative
117,en,"Who the fuck designed #windows8? I have literally Smacked this computer six times already, I've NEVER smacked a computer before",negative
118,en,tahu tak pe 😤 RT @MYMicrosoft: @iszahraa Hi there! Looks like you're not having a good time with #Windows8. Would you like some help? ^enzo,negative
119,en,discovered something funny during #mame gaming in #windows8 ::: ctrl + alt + arrow key turns the screen content sideways / upside down.,neutral
120,en,"There are some things I really, really love about #Windows8 & others make me want to scream & bang my head against the wall.",neutral
121,en,great seeing schools at the #mstour today at #iwmduxford finding out about #windows8 tablets in the classroom @TabletAcademyUK.,positive
122,en,If the designer of #Windows8 is reading this. Report to Me. I will happily beat the living crap out of you. #pain #revenge,negative
123,en,Installed a new 1GB #Nvidia 8400GS video card in my 8 year old #Dell desktop running #Windows8.1 and the PC is like new. Total cost $45!,neutral
124,en,Black Friday Special get 1 1/2 hours of computer repair #deerparkwa #computerrepiar #windows8 #windows7 #spokane #blackfriday,neutral
125,en,"If my day wasn't already busy enough, now I have to reinstall #Windows8 on my laptop. I swear I'm this close to buying a Mac. Not really.",negative
126,en,#SHIT #SKYPE #FAIL today is my (un)lucky day .... installed #windows8.1 can't share pictures in skype anymore ???? #FAIL #FAIL,negative
127,en,"#ddos for local exploit in #windows8 only with #findstr command even i dont run it as admin. smadav, avast, mcaffee, good bye. 11/28 #iw0rk",negative
128,en,"Clearly, my laptop has HAD IT! Needs a detox. 2 years and I still don't get along with #windows8. Off to buy some fabric. Fabric plays nice.",negative
129,en,"#Windows10 not bad so far... skip #Windows8 bit more testing with #education, admin software watch this space.",neutral
130,en,"Is it really the case my #Windows8 PC doesn't have a sleep mode because it's a desktop, rather than a laptop with a lid? :/",neutral
131,en,@ralyaismail Ouch... That's a bit harsh. What's troubling you about the #Windows8 update? Let us hear you. ^enzo,neutral
132,en,@iszahraa Hi there! Looks like you're not having a good time with #Windows8. Would you like some help? ^enzo,neutral
133,en,@Microsoft Im thankful that you made the shittiest operating system of all time. Its time for a mac and a playstation #windows8,negative
134,en,Just got a new laptop. Last computer I owned was 6 years ago. #Windows8 #WhatIsThis #HowDoesThisWork #ImLost #ThingsThatMakeYouFeelOld,neutral
135,en,"#windows10 has synced settings, apps and favourites from my old PC with #windows8.1 which was sold over month ago #easy",neutral
136,en,Got update to #Windows8 .. feels like you are using a #Microsoft Tablet with a keyboard attached.. lol :P,positive
137,en,Files copied to my more reliable editing solution #MovieMaker on #Windows8. #Apple just discontinue #iMovie and charge for #FinalCut,positive
138,en,Microsoft PLS REPAIR THE FUCKING UPLOAD THING!!! IS USING. IS JUST FUCKING SPEND ALL MY NEWLY UPDATED DATA!!! FUCK YOU #windows8,negative
139,en,@wpdev & @BuildWindows8 should have ONE TIME ONLY and permanent (until revoke) capabilities. That way apps can be trusted more. #windows8,neutral
140,en,Phew! Finally managed to get rid of #Windows8 & install #Windows7. After a month of cursing my new computer it finally works as it should!:),negative
141,en,#RedStripe #Windows8 #Deals Lire plus vite / Chaos Control / Shark Dash! / Machinarium / Recipe Keeper Pro / Princess Isabella: A Wi. (Full),neutral
142,en,#Revo uninstaller pro - at @BitsDuJour with 75% OFF. The best of its class #uninstall #windows #windows8 #pc #pctweak #2014 #blackfriday,neutral
143,en,"Trying to install a new program on my #Windows8 computer is like pulling teeth. No backwards compatibility... What is this, #Xbox?",negative
144,en,"#Windows8 has to be the one of the stupidest things ever created, like wtf were you thinking @Microsoft?",negative
145,en,"FREE #WIndows8 BASICS Class, adults. Thu. Dec. 4, 11 AM. Bring Windows 8 laptop or Surface table, passwords. (We don't need your...",neutral
146,en,Its official. My new @microsoft #windows8 laptop has been killed by #microsoft updates. IF IT ISNT READY 2 WORK DONT RELEASE IT!,negative
147,en,"I was dreading the inevitable #windows8.1 update! To my surprise everything went pretty smooth, and all my stuff is intact #crossingfingers",positive
148,en,"I love using @msonenote on my #iPad, #iPhone, and #Windows8 PC to keep my life in order. You know what would be cool? #Siri intregration",positive
149,en,everytime I type on dis #windows8 shit my thumbs wanna make the screen big ass hell or little as hell can I turn this shit off @Windows,negative
150,en,My (almost) 4 year old laptop has finally suffered a fatal hard drive malfunction. #RIP # ASUS #windows8 #newlaptopfund #greattiming,neutral
151,en,"Working on #Windows8.1 , #Server2012R2 #Windows10 and Server Technical preview Deployment a good day! #mvpbuzz",positive
152,en,Why does Windows 8 suck so much?! I've never dealt with any of the problems I'm having now on Windows 7.. #Windows #Windows8 #Microsoft,negative
153,en,"Thank goodness we have a spare #laptop in the house. With all the problems #Windows8 is causing, it's a lifeline.",negative
154,en,Awarded 3 students movie ticket vouchers+@MicrosoftSA flask for being 1st to publish amazing #Windows8.1 #WP8.1 Apps #TUT @The_AppFactory,neutral
155,en,Busy repairing an awful installation of #Windows8 Windows 8 is bad but this is the worst install we've seen.,negative
156,en,Today marks week 4 of @The_AppFactory #Windows8.1 #WP8.1 #Appdev training @ #TUT Soshanguve campus. The talent here is uncut & inspiring.,neutral
157,en,#windows8 on a laptop is just the worst. No easy way to shutdown without installing updates. Just hold that flight a sec would you...,negative
158,en,OHGOD. Having problems whether i should settle for Windows 7 or Windows 8? @Windows #Windows #OS #Windows7 #Windows8,neutral
159,en,Too bad #windows8 doesn't work ANYTHING like the commercials @MicrosoftHelps @microsoft #windowssucks @windowsstore,negative
160,en,"Hi @gameloft I installed your #Windows8 #CarRacing #Game ""#Asphalt8 Airborne"" today & love it. But now when i click play nothing happens.",neutral
161,en,Still having endless problems with #Windows8. I have never had to use a worse product in my entire life. It's pathetic and inexcusable.,negative
162,en,Get your computer tuned up $60 #computerrepair #windows8 #windows7 #spokane #deerparkwa #spokanevalley,neutral
163,en,"I'm a 25 year old fairly intelligent person, and a year after I bought my laptop I still can't understand how to work #windows8 #frustrated",negative
164,en,"My LiveTiles don't work in production for my WIndows 8.1 App, but when deployed from VS they do work. Thoughts? #Windows8 #universalApps",neutral
165,en,@KickstartFund the PC is the non-functioning option. I can't believe people can use recent versions of #Windows8,negative
166,en,"We have a collection here @pquesadaz! #Windows8, #MacOSX, & a #SteamOS fan waiting for the 2015 release of #steammachines! #itguy #itlife",neutral
167,en,"note for those working with thin clients #microsoft does not support the #Lync vdi plugin on #windows8 based thin clients, only Windows7",negative
168,en,"So after months of tweaks, drivers, hardware, annoyance, it was #Windows8 ALL ALONG. BUG RIDDEN PIECE-O-CRAP SHOULD NEVER HAVE BEEN RELEASED",negative
169,en,Being brave. Upgraded to Windows 8 from 7. But going back to 7. #windows8 bet I can use the upgrade promo code anymore.,negative
170,en,#LF #G41Chipset #Windows8 #Windows8update1 #windows8update2 #driver i need windows 8-8.1 drivers from g41 chipset (i have g41m-p33),neutral
171,en,"#Windows8 has a ""metro"" calculator and a ""windows"" calculator. Who thought that was a good idea? #fail",negative
172,en,@DanielB107 6 hours and still not fully installed all the halo disk this is a absolute joke The ui is horrific get #windows8 off my xbox one,negative
173,en,"And hey.. you better don't forget #Windows. Especially, #Windows8 or ""8.1"". Would they please go back to #WInXPSP2. Those idiots in the #US.",negative
174,en,Sweet! 100 free albums from XBox Music with the Music Deals app. Nice selection too. #Windows8 #WP8 #FreeMusic,neutral
175,en,Hey Windows 8 and Windows Phone Developers who have App ideas but need a Designer - Let's chat! #windows8 #windows10 #winphan #winphone,neutral
176,en,You do not even understand how much I hate windows 8 at the moment! Just let me put my photos into the laptop you pice of shit! #windows8,negative
177,en,"#windows8.1 - if you're searching for something, pls can u make a spinny icon or something rather than just show 'searching' in arial 4pt?",negative
178,en,"@KindleHelp when your #Windows8 #Kindle app will have sync support for personal docs, like in #Android and #iOS?",neutral
179,en,.@BRYTONGPS has got a very poor customer service. No reply to email or other messages. Are there synch issues with #brytonbridge2 #windows8?,neutral
180,en,Today is all about preparing a new #Office365 and new workplace presentation next week at one of our clients! #Cloud #Windows8 #Microsoft,positive
181,en,Windows 8 has changed my chrome launch for some reason and now it's fucking annoying #Windows8 and to think I actually liked it at first!,negative
182,en,"Right now I'm using my old #WindowsVista laptop... kind of slow, but works pretty fine. Usually, I use my #Windows8 laptop though :P",neutral
183,en,@VerizonWireless @VZWsupport Looking for #windows8.1 for my #Lumia #Icon. @WinPhoneSupport says it is up to you. So when will you release?,neutral
184,en,@WinPhoneSupport Any word on when the #Lumia Icon will get the #Windows8.1 update in North America? Seems all the other Lumia models have it,neutral
185,en,There is a good thing about #Windows10: my graphics drivers actually work again. They were borked under #Windows8.,negative
186,en,"@reneritchie Great choice, welcome to the 13"" club! Bet you can't wait to put #Windows8 on it. #TongueFirmlyInCheek",negative
187,en,"Nah, been coding for about 11 hours. Now I need to sleep xD More coding to do tomorrow :D And I'm fetching the #Lumina T-801 #Windows8 tab!",positive
188,en,"Update windows 8 is a big failure, it took more than 3 hours and it's not done yet! #hp #laptop #windows8",negative
189,en,"@Rachaelpkearns oh, that's a #windows8 thing. I had that. It's the MS player from the (not) desktop if you get me.",negative
190,en,"Crappy #Windows8 and its auto-restart ""feature"". Whoever came up w/ that @Microsoft I hope you get a bad case of diarrhea for every reboot!",negative
191,en,Keyboard question re #windows8 tablet: Onscreen arrow key and/or customizable keyboards? Gaming & simulation application; need WASD control.,neutral
192,en,@Yahoo Keep getting asked to update my Yahoomail settings on #windowsmail #windows8.1 Not working but all works OK on browser. Known issue?,neutral
193,en,@surface #SURFACE #SUCKS as does #WINDOWS8! And it 's too expensive! #IPAD is up there with you #MICROSOFT.,negative
194,en,"Just had to ""flash bios"" on my relatively new laptop. Haven't had to do that since 1998 (win 98)! Progress eh - #windows8 #asus",negative
195,en,"@VerizonSupport Why hasn't the #HTC8x #Windows8.1 update been released? HTC released it, and it was supposed to be ready for us in October.",neutral
196,en,@Microsoft @Windows you conveniently forget to mention that yoga and surface both run #Windows8 which is an unmitigated disaster #yosemite,negative
197,en,"Switched from #Windows8 to #LinuxMint, just so that I can use scroll using the touchpad. Driver issues on #Windows",negative
198,en,@microsoft perhaps #Cortana will justify the jump from #Windows8 to #Windows10. Eager to experience it!,negative
199,en,When #Microsoft finally bring out a new version of Windows they should offer it free to everyone who foolishly bought #Windows8,negative
200,en,Surfing @ufc rankings on #Windows8 on my @Sony VAIO with @mtn_dew in my room trying to get sponsored @BarackObama style! #WhatJamesIsDoing,neutral
201,en,#Microsoft is undoubtably the biggest @&*^%$@er and i would especially like to extend my foot firmly insde the one who designed #Windows8,negative
202,en,"Every f**ing day, a whole lot of updates for #Windows8 because the morons sell the beta version and wait for people to bug test the crap",negative
203,en,At the CityGro offices here in SLC were pretty divided between #Windows8 and #OSX. What operating system do you use in your business?,neutral
204,en,I bought a #Windows8 laptop a week ago. I just now got an intro email for it. Pretty sure that would've been more useful a week ago. :o,negative
205,en,The Windows 8 weather app is sick ! You can even have detailed snow forecasts with webcam views for every ski resort ! #windows8 #microsoft,positive
206,en,.@Microsoft Don't bother releasing #Windows10 unless you fix the crappy updating system in #Windows8,negative
207,en,"Got it back up and running, lost all my applications and some data, plus some parts of the UI are in Swedish now.. #wtf #windows8",negative
208,en,@Microsoft @Windows #Windows8 laptops are very prone to #malware and #viruses! Help me figure out how I get rid of this malware!,negative
209,en,Sorry @iTunes but I'm just going to say it. The redesign is a needlessly complicated pos that reminds me of #windows8's shenanigans.,negative
210,en,"Ironically, my last 2 laptops crashed while doing #windows updates, 1 with #windowsXP, 1 with #windows8 #sav",negative
211,en,We got new teacher laptops at school today. Thank the lord they didn't have #windows8! 👏👍💻 #windows8sucks,negative
212,en,"Why #Windows8, why do you hate non-tablet users? Worst business OS we've ever used - Vista was better.",negative
213,en,"So today is the day when #windows8 does not boot up anymore. Installed it November 20th 2013, so it was usable for more than one year.. :D",negative
214,en,"Anyone has Crappy windows8 and can't get in after logging in? Just keeps ""thinking""? #laptop #windows8 #problem #annoyd #help",negative
215,en,Getting really p*ssed off with #Windows8 it really is crap! The 'Search' facility doesn't work properly & now its lost some of my pics!,negative
216,en,Wondering if switching to #Windows8 makes sense for you? Make sure you check if your 3rd party indicators will still work. #trading #stocks,neutral
217,en,For some reason our new family desktop has #windows8 And I don't know WHAT'S GOING ON?! WHAT ARE THESE THINGS?,negative
218,en,so the @tesco #windows8 app requires being full screen in order for me to edit my basket. serious #wtf right there.,neutral
219,en,Waiting for #windows10 because #windows8 is garbage when it comes to user friendly @Microsoft staying with my #MacbookAir #EvenLinuxisBetter,negative
220,en,So I changed my router and now my system randomly boots up by itself. Fun fact: I also switched from ethernet to WiFi... #wtf #windows8.1,negative
221,en,"So here's the thing, @Microsoft: when upgrading 2 #Windows8 then #Windows8dot1, #Windows didn't uninstall old OS. Probly rsn 4 all the probs",negative
222,en,Forced to print my email attachments using my #LGG3 because i couldnt even connect my printer to my #windows8.1 laptop!! #windows,negative
223,en,It's like I have a brand new more epic phone. It's the shit! #Tbh I am just now appreciating it #windows8.1formobile #windows8.1,positive
224,en,@PDX_NET It's so important for employees to be equipped with the tools they needs to succeed! #happyatwork #pdxnet #windows8,positive
225,en,#Windows8: i got some updates me: cool windows: i have to restart me: okay not now windows: im going to me: please dont #windows: lol :D,negative
226,en,Nbconvert not working! I suspect my upgrade to #windows8 is to blame. As are all the other things not currently working. Grrrr.,negative
227,en,last #windows8 update took more time than loading 20 #c64 games with #datasette ...what went wrong in 30 years?,negative
228,en,Already hot and cranky and now useless #windows8 wants to do updates when I just turned the bloody thing on. This laptop is shit enough.,negative
229,en,"@WindowsAU about 50hrs later. Having problems with new install, #Windows8 apps keeps crashing, and I have trouble navigating around.",negative
230,en,"If we ruin #WindowsXP, we get #Windows7 & if we ruin #Windows7, we get #Windows8. #Windows10 anyone ?? @Microsoft #ubuntu @Canonical",negative
231,en,@HyOsTaE Hi! How do you like our holiday promotion? We think it's a bargain! Will you be getting a #Windows8 tablet for someone? ^enzo,neutral
232,en,"Given all the minor improvements brought by #Windows8 (EG ISO mounting, file transfers), I can't wait to see whats' added by #Windows10!",positive
233,en,"""Work easy. Play hard."" has got to be one of the worst slogans ever. What ever happened to rewards for hard work?? #society #windows8",neutral
234,en,Another day and #Windows8 is rendering my #laptop useless. Never had another version of Windows that freezes constantly like this does.,negative
